iter	Passed	Remaining
0	13	13961
1	29	14537
2	44	14874
3	59	14814
4	72	14425
5	84	13983
6	97	13790
7	111	13806
8	128	14112
9	155	15354
10	175	15754
11	192	15838
12	219	16656
13	248	17499
14	270	17737
15	302	18620
16	330	19117
17	360	19646
18	384	19848
19	413	20247
20	442	20613
21	467	20781
22	497	21126
23	529	21515
24	556	21717
25	577	21634
26	604	21772
27	635	22076
28	666	22322
29	690	22326
30	708	22161
31	735	22255
32	756	22177
33	769	21865
34	782	21580
35	797	21364
36	811	21112
37	825	20906
38	839	20686
39	855	20536
40	870	20370
41	885	20199
42	908	20217
43	935	20317
44	949	20152
45	967	20060
46	980	19878
47	990	19647
48	1004	19489
49	1019	19370
50	1035	19270
51	1050	19145
52	1063	19005
53	1079	18911
54	1089	18723
55	1102	18593
56	1118	18501
57	1133	18415
58	1148	18310
59	1162	18213
60	1175	18093
61	1190	18010
62	1203	17903
63	1216	17798
64	1231	17716
65	1244	17610
66	1259	17542
67	1276	17498
68	1289	17403
69	1307	17365
70	1321	17286
71	1334	17205
72	1350	17146
73	1365	17090
74	1380	17029
75	1397	16989
76	1413	16939
77	1426	16862
78	1440	16793
79	1454	16730
80	1469	16672
81	1488	16665
82	1504	16621
83	1516	16532
84	1540	16578
85	1557	16555
86	1573	16514
87	1588	16465
88	1606	16439
89	1627	16460
90	1657	16560
91	1679	16573
92	1705	16634
93	1726	16643
94	1755	16721
95	1782	16785
96	1807	16827
97	1826	16808
98	1855	16889
99	1871	16840
100	1883	16767
101	1902	16747
102	1913	16663
103	1937	16688
104	1961	16723
105	1993	16816
106	2023	16889
107	2044	16886
108	2076	16971
109	2099	16990
110	2116	16950
111	2132	16906
112	2147	16858
113	2171	16875
114	2196	16900
115	2226	16969
116	2260	17057
117	2285	17086
118	2312	17120
119	2327	17070
120	2344	17035
121	2359	16977
122	2371	16907
123	2386	16860
124	2401	16810
125	2412	16737
126	2423	16658
127	2438	16612
128	2456	16585
129	2468	16521
130	2483	16472
131	2497	16422
132	2512	16380
133	2526	16329
134	2537	16258
135	2551	16207
136	2565	16163
137	2589	16172
138	2602	16119
139	2625	16130
140	2646	16123
141	2662	16086
142	2680	16062
143	2698	16042
144	2713	15999
145	2727	15956
146	2742	15914
147	2758	15880
148	2768	15814
149	2781	15759
150	2796	15723
151	2813	15693
152	2827	15655
153	2844	15628
154	2859	15586
155	2874	15549
156	2889	15516
157	2901	15462
158	2913	15409
159	2927	15368
160	2943	15337
161	2957	15296
162	2969	15248
163	2985	15219
164	2997	15166
165	3010	15124
166	3024	15086
167	3039	15053
168	3050	14997
169	3062	14952
170	3077	14919
171	3091	14884
172	3106	14849
173	3120	14813
174	3135	14782
175	3146	14729
176	3172	14750
177	3189	14729
178	3202	14689
179	3212	14636
180	3223	14587
181	3238	14557
182	3250	14512
183	3263	14474
184	3275	14429
185	3288	14392
186	3302	14358
187	3316	14326
188	3330	14290
189	3344	14260
190	3373	14287
191	3403	14322
192	3429	14341
193	3442	14303
194	3459	14281
195	3479	14271
196	3499	14265
197	3512	14229
198	3535	14230
199	3557	14228
200	3579	14227
201	3591	14186
202	3604	14151
203	3619	14122
204	3633	14092
205	3654	14085
206	3671	14063
207	3685	14034
208	3698	13996
209	3711	13961
210	3725	13929
211	3736	13888
212	3750	13859
213	3765	13830
214	3779	13799
215	3794	13772
216	3813	13758
217	3842	13783
218	3865	13785
219	3894	13808
220	3925	13835
221	3952	13852
222	3976	13854
223	3990	13825
224	4007	13803
225	4020	13768
226	4038	13752
227	4053	13725
