iter	Passed	Remaining
0	0	724
1	1	847
2	2	834
3	3	925
4	4	875
5	6	1048
6	7	1009
7	9	1172
8	10	1183
9	12	1194
10	12	1137
11	13	1077
12	13	1031
13	14	986
14	15	988
15	16	997
16	17	998
17	18	1004
18	19	1031
19	21	1053
20	26	1254
21	28	1249
22	29	1267
23	31	1269
24	32	1270
25	33	1251
26	34	1245
27	35	1238
28	37	1247
29	38	1253
30	40	1263
31	42	1299
32	45	1330
33	47	1341
34	48	1333
35	48	1307
36	49	1288
37	50	1284
38	51	1267
39	52	1264
40	54	1275
41	56	1285
42	58	1295
43	59	1294
44	60	1284
45	61	1279
46	63	1278
47	63	1268
48	65	1262
49	66	1258
50	67	1250
51	68	1251
52	71	1280
53	74	1302
54	75	1292
55	76	1290
56	77	1288
57	79	1289
58	80	1277
59	81	1277
60	82	1267
61	82	1253
62	83	1242
63	85	1248
64	87	1254
65	90	1279
66	91	1275
67	92	1265
68	93	1256
69	94	1252
70	94	1240
71	95	1229
72	96	1231
73	97	1226
74	99	1221
75	100	1225
76	101	1219
77	103	1226
78	105	1230
79	107	1231
80	108	1227
81	109	1221
82	109	1214
83	110	1209
84	111	1204
85	113	1205
86	114	1199
87	115	1197
88	116	1188
89	118	1202
90	121	1211
91	121	1203
92	122	1196
93	124	1197
94	125	1194
95	126	1190
96	127	1185
97	128	1181
98	129	1181
99	131	1183
100	133	1188
101	135	1189
102	137	1193
103	138	1194
104	139	1189
105	141	1190
106	142	1188
107	143	1184
108	144	1179
109	144	1172
110	145	1168
111	146	1161
112	149	1169
113	151	1178
114	153	1180
115	154	1180
116	156	1178
117	157	1177
118	158	1174
119	159	1169
120	160	1166
121	161	1163
122	162	1160
123	166	1173
124	167	1173
125	168	1168
126	169	1166
127	170	1160
128	171	1156
129	172	1152
130	173	1149
131	174	1147
132	175	1145
133	176	1141
134	177	1138
135	178	1136
136	184	1161
137	184	1154
138	186	1152
139	187	1148
140	188	1146
141	188	1140
142	189	1137
143	191	1136
144	192	1132
145	192	1128
146	194	1126
147	194	1122
148	196	1123
149	197	1121
150	199	1119
151	200	1119
152	202	1120
153	203	1117
154	204	1115
155	205	1112
156	207	1112
157	208	1108
158	209	1107
159	210	1107
160	211	1104
161	212	1100
162	213	1098
163	215	1098
164	216	1097
165	218	1096
166	219	1094
167	220	1090
168	221	1089
169	222	1087
170	223	1084
171	224	1082
172	225	1080
173	227	1078
174	228	1077
175	229	1073
176	231	1078
177	232	1075
178	234	1073
179	235	1071
180	235	1067
181	236	1065
182	237	1061
183	238	1057
184	239	1055
185	240	1052
186	242	1052
187	243	1053
188	246	1058
189	248	1058
190	249	1056
191	250	1054
192	251	1049
193	252	1049
194	253	1046
195	254	1045
196	256	1044
197	256	1039
198	257	1037
199	259	1037
200	263	1045
201	263	1041
202	264	1037
203	265	1036
204	266	1034
205	267	1031
206	268	1028
207	269	1026
208	270	1023
209	271	1022
210	272	1020
211	274	1021
212	277	1023
213	278	1024
214	280	1024
215	281	1023
216	282	1020
217	283	1017
218	284	1013
219	285	1011
220	286	1009
221	286	1005
222	287	1002
223	289	1001
224	290	999
225	291	997
226	291	993
227	294	995
228	295	995
229	296	993
230	297	990
231	298	987
232	299	986
233	300	982
234	301	981
235	302	980
236	303	976
237	306	981
238	309	986
239	310	983
240	312	982
241	313	981
242	314	979
243	315	977
244	316	975
245	317	974
246	318	972
247	320	971
248	322	971
249	323	970
250	325	970
251	326	969
252	327	967
253	328	964
254	329	963
255	330	959
256	331	958
257	332	956
258	333	953
259	334	951
260	335	949
261	338	953
262	341	957
263	342	955
264	343	952
265	344	951
266	345	949
267	347	947
268	348	946
269	349	944
270	350	942
271	351	941
272	353	941
273	355	942
274	357	942
275	358	940
276	359	938
277	360	935
278	360	932
279	362	931
280	363	929
281	364	927
282	364	924
283	365	921
284	366	919
285	367	917
286	369	917
287	371	917
288	372	917
289	374	915
290	375	914
291	375	911
292	376	909
293	378	908
294	379	907
295	380	905
296	382	904
297	384	904
298	385	904
299	388	906
300	390	906
301	391	903
302	391	900
303	393	899
304	393	897
305	395	895
306	395	893
307	397	892
308	397	889
309	398	887
310	400	886
311	401	884
312	401	882
313	403	882
314	405	880
315	405	878
316	406	876
317	408	875
318	409	874
319	410	872
320	411	870
321	412	868
322	413	865
323	414	864
324	416	865
325	418	864
326	419	863
327	420	862
328	421	859
329	422	858
330	424	858
331	425	856
332	427	855
333	428	853
334	429	852
335	431	851
336	432	851
337	434	850
338	437	853
339	438	850
340	439	850
341	441	849
342	442	847
343	443	845
344	444	843
345	445	842
346	447	841
347	449	841
348	450	840
349	452	839
350	453	838
351	453	835
352	454	833
353	455	831
354	456	830
355	458	828
356	459	827
357	460	825
358	461	824
359	463	823
360	465	823
361	466	822
362	468	821
363	469	820
364	470	818
365	472	817
366	473	816
367	474	814
368	475	813
369	476	811
370	480	815
371	482	813
372	482	811
373	484	810
374	484	808
375	486	806
376	486	804
377	487	802
378	488	801
379	490	799
380	491	798
381	492	796
382	493	795
383	494	793
384	495	792
385	498	792
386	499	791
387	501	790
388	502	788
389	503	787
390	504	785
391	506	784
392	507	783
393	507	780
394	508	778
395	511	779
396	513	779
397	514	778
398	516	777
399	517	775
400	518	774
401	519	773
402	520	771
403	521	769
404	522	767
405	523	766
406	526	767
407	529	768
408	531	767
409	531	765
410	533	763
411	534	762
412	535	760
413	535	758
414	536	756
415	537	754
416	538	753
417	539	751
418	541	750
419	543	750
420	545	750
421	547	749
422	548	748
423	550	747
424	551	746
425	552	744
426	554	743
427	555	742
428	560	746
429	561	744
430	563	744
431	565	743
432	566	741
433	567	740
434	568	738
435	568	735
436	569	734
437	570	732
438	571	730
439	572	728
440	573	727
441	574	725
442	576	724
443	577	723
444	580	723
445	581	722
446	583	721
447	584	720
448	585	718
449	586	716
450	587	714
451	587	712
452	591	714
453	593	713
454	593	711
455	594	709
456	595	707
457	595	704
458	596	702
459	596	700
460	596	697
461	597	695
462	597	693
463	598	691
464	599	690
465	600	688
466	601	686
467	602	685
468	603	682
469	604	681
470	606	680
471	608	680
472	609	679
473	610	677
474	611	675
475	612	674
476	613	672
477	614	670
478	614	668
479	615	666
480	615	664
481	616	662
482	617	661
483	619	660
484	622	661
485	624	660
486	625	659
487	626	657
488	627	655
489	628	653
490	629	652
491	630	651
492	631	649
493	632	647
494	633	646
495	634	644
496	636	644
497	637	642
498	639	641
499	640	640
500	642	640
501	643	638
502	644	636
503	645	635
504	646	633
505	647	632
506	648	630
507	653	632
508	654	631
509	656	630
510	658	629
511	659	628
512	660	627
513	661	625
514	662	623
515	663	622
516	664	620
517	665	619
518	667	618
519	668	617
520	670	616
521	672	615
522	672	613
523	674	612
524	675	611
525	676	609
526	678	608
527	679	607
528	681	606
529	685	607
530	687	606
531	688	605
532	690	604
533	691	603
534	692	602
535	693	600
536	694	598
537	695	597
538	696	595
539	697	593
540	697	591
541	698	590
542	700	589
543	704	590
544	704	588
545	705	586
546	706	584
547	707	583
548	708	582
549	709	580
550	710	578
551	711	577
552	711	575
553	712	573
554	714	573
555	716	571
556	717	570
557	718	569
558	720	568
559	720	566
560	721	564
561	722	563
562	724	562
563	725	560
564	726	559
565	728	558
566	729	556
567	730	555
568	731	554
569	733	552
570	734	551
571	735	550
572	738	550
573	739	548
574	740	547
575	742	546
576	743	545
577	745	544
578	746	543
579	748	542
580	751	541
581	752	540
582	754	539
583	755	538
584	756	536
585	757	534
586	758	533
587	759	531
588	760	530
589	760	528
590	762	527
591	764	526
592	765	525
593	766	524
594	768	522
595	769	521
596	770	519
597	770	518
598	772	516
599	773	515
600	774	514
601	775	512
602	776	511
603	779	511
604	782	510
605	783	509
606	784	507
607	785	506
608	786	505
609	787	503
610	788	502
611	789	500
612	790	499
613	791	497
614	795	498
615	797	497
616	798	495
617	799	494
618	800	492
619	801	491
620	802	490
621	804	488
622	804	487
623	805	485
624	806	483
625	807	482
626	809	481
627	810	479
628	812	479
629	814	478
630	816	477
631	816	475
632	817	474
633	818	472
634	819	471
635	820	469
636	821	468
637	822	466
638	823	465
639	825	464
640	825	462
641	827	461
642	830	461
643	831	459
644	832	458
645	833	456
646	835	455
647	836	454
648	837	452
649	838	451
650	841	451
651	843	450
652	844	448
653	846	447
654	847	446
655	848	444
656	849	443
657	850	441
658	851	440
659	852	439
660	853	437
661	854	436
662	856	435
663	858	434
664	860	433
665	861	432
666	862	430
667	863	429
668	864	427
669	865	426
670	866	424
671	867	423
672	868	421
673	869	420
674	871	419
675	872	418
676	873	416
677	875	415
678	876	414
679	877	412
680	878	411
681	880	410
682	881	409
683	882	407
684	883	406
685	884	404
686	885	403
687	886	402
688	888	401
689	890	399
690	891	398
691	892	397
692	894	396
693	895	394
694	896	393
695	897	392
696	899	390
697	900	389
698	901	388
699	902	386
700	904	385
701	905	384
702	907	383
703	908	382
704	910	380
705	911	379
706	912	378
707	913	376
708	914	375
709	916	374
710	917	372
711	920	372
712	922	371
713	924	370
714	925	368
715	926	367
716	928	366
717	929	364
718	930	363
719	931	362
720	932	360
721	934	359
722	935	358
723	937	357
724	939	356
725	941	355
726	942	353
727	943	352
728	944	351
729	945	349
730	946	348
731	947	346
732	948	345
733	950	344
734	952	343
735	953	342
736	955	340
737	956	339
738	957	338
739	958	336
740	959	335
741	960	334
742	962	332
743	963	331
744	963	329
745	965	328
746	968	328
747	970	326
748	972	325
749	973	324
750	973	322
751	975	321
752	975	320
753	976	318
754	977	317
755	978	315
756	979	314
757	980	313
758	982	311
759	982	310
760	984	309
761	986	307
762	987	306
763	988	305
764	989	303
765	990	302
766	992	301
767	993	300
768	993	298
769	994	297
770	995	295
771	996	294
772	998	293
773	1000	292
774	1001	290
775	1002	289
776	1004	288
777	1004	286
778	1006	285
779	1007	284
780	1008	282
781	1009	281
782	1010	279
783	1011	278
784	1013	277
785	1015	276
786	1016	275
787	1018	274
788	1019	272
789	1020	271
790	1021	269
791	1023	268
792	1023	267
793	1025	265
794	1027	264
795	1028	263
796	1029	262
797	1030	260
798	1031	259
799	1034	258
800	1035	257
801	1036	255
802	1037	254
803	1038	253
804	1039	251
805	1040	250
806	1042	249
807	1043	247
808	1045	246
809	1046	245
810	1049	244
811	1050	243
812	1051	241
813	1053	240
814	1054	239
815	1055	237
816	1056	236
817	1057	235
818	1058	233
819	1059	232
820	1062	231
821	1065	230
822	1066	229
823	1067	227
824	1068	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1073	219
830	1073	218
831	1074	217
832	1076	215
833	1078	214
834	1079	213
835	1082	212
836	1084	211
837	1085	209
838	1086	208
839	1087	207
840	1088	205
841	1089	204
842	1090	203
843	1092	201
844	1093	200
845	1095	199
846	1096	198
847	1097	196
848	1098	195
849	1099	194
850	1100	192
851	1101	191
852	1102	189
853	1103	188
854	1104	187
855	1105	185
856	1107	184
857	1108	183
858	1109	182
859	1110	180
860	1112	179
861	1113	178
862	1114	176
863	1115	175
864	1116	174
865	1117	172
866	1118	171
867	1119	170
868	1120	168
869	1122	167
870	1123	166
871	1124	165
872	1128	164
873	1128	162
874	1129	161
875	1130	160
876	1131	158
877	1132	157
878	1133	155
879	1133	154
880	1134	153
881	1136	152
882	1137	150
883	1140	149
884	1142	148
885	1145	147
886	1145	145
887	1148	144
888	1149	143
889	1150	142
890	1152	140
891	1153	139
892	1155	138
893	1157	137
894	1160	136
895	1161	134
896	1162	133
897	1164	132
898	1164	130
899	1165	129
900	1166	128
901	1168	126
902	1169	125
903	1170	124
904	1172	123
905	1173	121
906	1175	120
907	1176	119
908	1178	117
909	1179	116
910	1181	115
911	1182	114
912	1182	112
913	1183	111
914	1184	109
915	1186	108
916	1188	107
917	1191	106
918	1192	105
919	1194	103
920	1195	102
921	1196	101
922	1197	99
923	1199	98
924	1200	97
925	1202	96
926	1203	94
927	1207	93
928	1208	92
929	1210	91
930	1211	89
931	1212	88
932	1212	87
933	1214	85
934	1214	84
935	1215	83
936	1216	81
937	1218	80
938	1220	79
939	1222	78
940	1223	76
941	1224	75
942	1225	74
943	1226	72
944	1227	71
945	1228	70
946	1229	68
947	1230	67
948	1231	66
949	1233	64
950	1235	63
951	1236	62
952	1238	61
953	1239	59
954	1240	58
955	1241	57
956	1242	55
957	1243	54
958	1244	53
959	1246	51
960	1247	50
961	1248	49
962	1250	48
963	1252	46
964	1254	45
965	1255	44
966	1256	42
967	1258	41
968	1259	40
969	1260	38
970	1261	37
971	1262	36
972	1263	35
973	1264	33
974	1266	32
975	1268	31
976	1269	29
977	1271	28
978	1272	27
979	1273	25
980	1274	24
981	1275	23
982	1277	22
983	1277	20
984	1279	19
985	1283	18
986	1286	16
987	1287	15
988	1288	14
989	1289	13
990	1290	11
991	1291	10
992	1292	9
993	1293	7
994	1295	6
995	1296	5
996	1297	3
997	1299	2
998	1300	1
999	1302	0
